Tm,HR,CS,BA,OBP,GDP,SF,WR,ERR,ERA,BB,TEAM
Minnesota Twins 2017,1.28,0.17,0.260,0.334,0.65,0.28,0.522,0.48,4.61,3.04,Minnesota Twins
New York Mets 2017,1.38,0.14,0.250,0.320,0.73,0.16,0.432,0.57,5.01,3.72,New York Mets
New York Yankees 2017,1.47,0.14,0.262,0.339,0.71,0.28,0.560,0.59,3.67,3.16,New York Yankees
Oakland Athletics 2017,1.44,0.14,0.246,0.319,0.80,0.24,0.463,0.75,4.67,3.16,Oakland Athletics
Philadelphia Phillies 2017,1.07,0.15,0.250,0.315,0.79,0.24,0.407,0.51,4.55,3.29,Philadelphia Phillies
Pittsburgh Pirates 2017,0.93,0.22,0.244,0.318,0.74,0.25,0.463,0.61,4.22,3.19,Pittsburgh Pirates
San Diego Padres 2017,1.17,0.20,0.234,0.299,0.61,0.22,0.438,0.70,4.67,3.49,San Diego Padres
Seattle Mariners 2017,1.23,0.22,0.259,0.325,0.81,0.20,0.482,0.64,4.46,3.06,Seattle Mariners
San Francisco Giants 2017,0.79,0.21,0.249,0.309,0.84,0.26,0.395,0.54,4.50,3.07,San Francisco Giants
St. Louis Cardinals 2017,1.21,0.19,0.256,0.334,0.85,0.23,0.512,0.58,4.01,3.06,St. Louis Cardinals
Tampa Bay Rays 2017,1.41,0.21,0.245,0.317,0.71,0.24,0.494,0.62,3.99,3.13,Tampa Bay Rays
Texas Rangers 2017,1.46,0.27,0.244,0.320,0.68,0.20,0.482,0.67,4.69,3.51,Texas Rangers
Toronto Blue Jays 2017,1.37,0.15,0.240,0.312,0.94,0.22,0.469,0.57,4.42,3.37,Toronto Blue Jays
Washington Nationals 2017,1.32,0.18,0.266,0.332,0.71,0.25,0.593,0.54,3.85,3.10,Washington Nationals
Arizona Diamondbacks 2016,1.17,0.19,0.261,0.320,0.72,0.23,0.426,0.62,5.09,3.74,Arizona Diamondbacks
Atlanta Braves 2016,0.76,0.21,0.255,0.321,0.90,0.32,0.422,0.63,4.51,3.40,Atlanta Braves
Baltimore Orioles 2016,1.56,0.08,0.256,0.317,0.73,0.22,0.546,0.49,4.22,3.41,Baltimore Orioles
Boston Red Sox 2016,1.28,0.15,0.282,0.348,0.84,0.25,0.564,0.46,4.02,3.05,Boston Red Sox
Chicago Cubs 2016,1.22,0.20,0.256,0.343,0.64,0.23,0.637,0.64,3.15,3.03,Chicago Cubs
Chicago White Sox 2016,1.04,0.22,0.257,0.317,0.75,0.27,0.482,0.59,4.10,3.24,Chicago White Sox
Cincinnati Reds 2016,1.01,0.31,0.256,0.316,0.80,0.27,0.420,0.63,4.89,3.97,Cincinnati Reds
Cleveland Indians 2016,1.15,0.20,0.262,0.329,0.82,0.35,0.591,0.54,3.74,2.86,Cleveland Indians
Colorado Rockies 2016,1.26,0.24,0.275,0.336,0.70,0.21,0.463,0.67,4.91,3.44,Colorado Rockies
Detroit Tigers 2016,1.31,0.18,0.267,0.331,0.84,0.24,0.534,0.46,4.24,2.91,Detroit Tigers
Houston Astros 2016,1.22,0.27,0.247,0.319,0.83,0.19,0.519,0.47,4.07,2.78,Houston Astros
Kansas City Royals 2016,0.91,0.22,0.261,0.312,0.83,0.21,0.500,0.57,4.21,3.23,Kansas City Royals
Los Angeles Angels 2016,0.96,0.21,0.260,0.322,0.91,0.30,0.457,0.60,4.28,3.15,Los Angeles Angels
Los Angeles Dodgers 2016,1.15,0.15,0.249,0.319,0.75,0.19,0.555,0.51,3.76,2.92,Los Angeles Dodgers
Miami Marlins 2016,0.80,0.17,0.263,0.322,0.87,0.24,0.491,0.54,4.05,3.73,Miami Marlins
